(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       CO2      C2H2        H2         H       H2O       HCN        He       NH3        O2        NO        OH
2.677E+02  1007.0  3.42E+08  1.81E-09  4.65E-04  2.63E-07  1.35E-17  8.37E-01  1.53E-07  3.40E-04  5.99E-12  1.62E-01  9.46E-10  7.09E-24  1.83E-18  1.85E-13
2.283E+02  1003.1  3.45E+08  1.46E-09  4.65E-04  2.67E-07  1.01E-17  8.37E-01  1.49E-07  3.40E-04  5.12E-12  1.62E-01  8.28E-10  6.60E-24  1.69E-18  1.76E-13
1.947E+02   997.6  3.47E+08  1.23E-09  4.65E-04  2.73E-07  7.55E-18  8.37E-01  1.40E-07  3.40E-04  4.38E-12  1.62E-01  7.32E-10  5.58E-24  1.46E-18  1.58E-13
1.660E+02   992.9  3.50E+08  1.02E-09  4.64E-04  2.78E-07  5.63E-18  8.37E-01  1.33E-07  3.40E-04  3.74E-12  1.62E-01  6.44E-10  4.93E-24  1.31E-18  1.45E-13
1.416E+02   987.3  3.53E+08  8.64E-10  4.64E-04  2.85E-07  4.23E-18  8.37E-01  1.24E-07  3.40E-04  3.20E-12  1.62E-01  5.71E-10  4.11E-24  1.12E-18  1.29E-13
1.207E+02   982.3  3.55E+08  7.22E-10  4.64E-04  2.91E-07  3.17E-18  8.37E-01  1.17E-07  3.40E-04  2.74E-12  1.62E-01  5.04E-10  3.55E-24  9.83E-19  1.17E-13
1.029E+02   976.1  3.58E+08  6.25E-10  4.64E-04  2.99E-07  2.39E-18  8.37E-01  1.06E-07  3.40E-04  2.34E-12  1.62E-01  4.48E-10  2.83E-24  8.18E-19  1.02E-13
8.778E+01   970.4  3.60E+08  5.35E-10  4.64E-04  3.07E-07  1.80E-18  8.37E-01  9.81E-08  3.40E-04  2.00E-12  1.62E-01  3.98E-10  2.32E-24  6.93E-19  8.99E-14
7.485E+01   963.7  3.63E+08  4.72E-10  4.64E-04  3.17E-07  1.36E-18  8.37E-01  8.78E-08  3.40E-04  1.72E-12  1.62E-01  3.56E-10  1.77E-24  5.60E-19  7.62E-14
6.383E+01   957.2  3.65E+08  4.15E-10  4.64E-04  3.26E-07  1.03E-18  8.37E-01  7.87E-08  3.39E-04  1.47E-12  1.62E-01  3.18E-10  1.37E-24  4.55E-19  6.48E-14
