Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
136.188435	6.283535e+00	5.992327e+00	6.223356e+00	6.749605e+00	5.225665e+00	6.437988e+00	6.997158e+00	6.197491e+00	
136.597441	6.398371e+00	6.102058e+00	6.336311e+00	6.872317e+00	5.323016e+00	6.556062e+00	7.123971e+00	6.311025e+00	
137.007674	6.515101e+00	6.213602e+00	6.451116e+00	6.997044e+00	5.422010e+00	6.676095e+00	7.252859e+00	6.426445e+00	
137.419140	6.633753e+00	6.326985e+00	6.567799e+00	7.123814e+00	5.522672e+00	6.798114e+00	7.383850e+00	6.543778e+00	
137.831842	6.754355e+00	6.442233e+00	6.686388e+00	7.252657e+00	5.625027e+00	6.922151e+00	7.516975e+00	6.663053e+00	
138.245783	6.876935e+00	6.559375e+00	6.806910e+00	7.383604e+00	5.729101e+00	7.048234e+00	7.652267e+00	6.784299e+00	
138.660967	7.001524e+00	6.678439e+00	6.929394e+00	7.516685e+00	5.834920e+00	7.176394e+00	7.789755e+00	6.907547e+00	
139.077398	7.128151e+00	6.799451e+00	7.053869e+00	7.651933e+00	5.942510e+00	7.306662e+00	7.929474e+00	7.032824e+00	
139.495079	7.256844e+00	6.922442e+00	7.180363e+00	7.789378e+00	6.051897e+00	7.439069e+00	8.071454e+00	7.160163e+00	
139.914015	7.387636e+00	7.047440e+00	7.308907e+00	7.929052e+00	6.163109e+00	7.573646e+00	8.215729e+00	7.289592e+00	
140.334210	7.520555e+00	7.174474e+00	7.439529e+00	8.070988e+00	6.276173e+00	7.710426e+00	8.362332e+00	7.421144e+00	
140.755666	7.655635e+00	7.303574e+00	7.572261e+00	8.215220e+00	6.391117e+00	7.849441e+00	8.511297e+00	7.554849e+00	
141.178388	7.792905e+00	7.434770e+00	7.707132e+00	8.361780e+00	6.507968e+00	7.990723e+00	8.662658e+00	7.690740e+00	
141.602379	7.932398e+00	7.568092e+00	7.844174e+00	8.510701e+00	6.626755e+00	8.134307e+00	8.816449e+00	7.828848e+00	
142.027644	8.074146e+00	7.703572e+00	7.983418e+00	8.662019e+00	6.747508e+00	8.280226e+00	8.972706e+00	7.969207e+00	
142.454186	8.218182e+00	7.841241e+00	8.124896e+00	8.815768e+00	6.870254e+00	8.428513e+00	9.131465e+00	8.111849e+00	
142.882009	8.364539e+00	7.981131e+00	8.268641e+00	8.971983e+00	6.995024e+00	8.579204e+00	9.292760e+00	8.256808e+00	
143.311116	8.513251e+00	8.123272e+00	8.414685e+00	9.130699e+00	7.121848e+00	8.732334e+00	9.456630e+00	8.404118e+00	
143.741513	8.664351e+00	8.267699e+00	8.563060e+00	9.291954e+00	7.250755e+00	8.887938e+00	9.623110e+00	8.553814e+00	
144.173202	8.817875e+00	8.414444e+00	8.713802e+00	9.455782e+00	7.381778e+00	9.046052e+00	9.792238e+00	8.705930e+00	
144.606188	8.973857e+00	8.563540e+00	8.866943e+00	9.622221e+00	7.514946e+00	9.206713e+00	9.964052e+00	8.860502e+00	
145.040473	9.132332e+00	8.715022e+00	9.022518e+00	9.791309e+00	7.650293e+00	9.369957e+00	1.013859e+01	9.017566e+00	
145.476064	9.293337e+00	8.868923e+00	9.180562e+00	9.963084e+00	7.787849e+00	9.535823e+00	1.031589e+01	9.177158e+00	
145.912962	9.456908e+00	9.025277e+00	9.341111e+00	1.013758e+01	7.927647e+00	9.704348e+00	1.049600e+01	9.339314e+00	
146.351172	9.623081e+00	9.184122e+00	9.504199e+00	1.031485e+01	8.069719e+00	9.875570e+00	1.067894e+01	9.504073e+00	
146.790699	9.791894e+00	9.345491e+00	9.669864e+00	1.049491e+01	8.214101e+00	1.004953e+01	1.086477e+01	9.671472e+00	
147.231545	9.963385e+00	9.509420e+00	9.838142e+00	1.067782e+01	8.360824e+00	1.022626e+01	1.105353e+01	9.841548e+00	
147.673716	1.013759e+01	9.675948e+00	1.000907e+01	1.086362e+01	8.509923e+00	1.040581e+01	1.124525e+01	1.001434e+01	
148.117214	1.031455e+01	9.845109e+00	1.018269e+01	1.105234e+01	8.661433e+00	1.058822e+01	1.143997e+01	1.018989e+01	
148.562044	1.049431e+01	1.001694e+01	1.035903e+01	1.124402e+01	8.815389e+00	1.077353e+01	1.163775e+01	1.036824e+01	
149.008211	1.067689e+01	1.019149e+01	1.053814e+01	1.143871e+01	8.971827e+00	1.096177e+01	1.183862e+01	1.054942e+01	
149.455717	1.086236e+01	1.036878e+01	1.072005e+01	1.163646e+01	9.130781e+00	1.115299e+01	1.204263e+01	1.073348e+01	
149.904567	1.105073e+01	1.054885e+01	1.090480e+01	1.183730e+01	9.292290e+00	1.134724e+01	1.224982e+01	1.092046e+01	
150.354765	1.124206e+01	1.073176e+01	1.109244e+01	1.204127e+01	9.456390e+00	1.154456e+01	1.246023e+01	1.111040e+01	
