Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized
8.991406798713883e-07	0.08828630242474012	0.27348410125960454	0.5393412197272395	0.21527806080335363	0.5174449819325971	0.6022943719736815	0.31476921755235987	0.16629131888774495
9.000383532142793e-07	0.08844427169306773	0.2730007890962978	0.539270257720233	0.21510847957024312	0.5175087132940879	0.6022830514942961	0.3146178824012929	0.16626621499034513
9.009369227655726e-07	0.0885785638294109	0.27252496469624793	0.5391887033007544	0.21494676049601558	0.5175410654837175	0.6022189655299515	0.314473837178679	0.16621265570691598
9.018363894200125e-07	0.08869637723100215	0.2720542205119973	0.539099733962759	0.21479047787026193	0.5175515344447907	0.6021180460916955	0.31433483451010946	0.16613922710963486
9.027367540732377e-07	0.08881430825373146	0.2715830063517852	0.5390106758006176	0.21463403921692525	0.5175620138577405	0.6020170258986951	0.3141956930657144	0.16606572520358695
9.036380176217818e-07	0.08893235701502801	0.27111132174640273	0.5389215287256508	0.21447744438023258	0.5175725037330013	0.6019159048503598	0.31405641270694434	0.16599214991558314
9.04540180963073e-07	0.08905052363243823	0.2706391662261723	0.5388322926490912	0.21432069320425542	0.5175830040810188	0.6018146828459989	0.31391699329511175	0.16591850117236126
9.05443244995434e-07	0.08916880822362569	0.27016653932094853	0.5387429674820824	0.21416378553290996	0.5175935149122484	0.6017133597848213	0.31377743469139063	0.16584477890058608
9.063472106180894e-07	0.08928721090637208	0.2696934405601139	0.5386535531356791	0.2140067212099556	0.5176040362371562	0.6016119355659348	0.3136377367568158	0.16577098302684876
9.072520787311566e-07	0.08940573179857601	0.26921986947258375	0.5385640495208476	0.21384950007899664	0.5176145680662189	0.6015104100883469	0.31349789935228395	0.1656971134776676
9.081578502356532e-07	0.08952437101825406	0.26874582558680205	0.538474456548465	0.21369212198348103	0.5176251104099233	0.6014087832509641	0.31335792233855275	0.16562317017948736
